source_id,pdf_page,render_alias,dpi,review_status,topic,evidence_role
HARTLEY_IJRR2020_ARXIV1904_09251V2,3,rendered/HARTLEY_IJRR2020_ARXIV1904.09251v2/PAGE_03_200DPI.png,200,VISUALLY_REVIEWED,"Cassie IMU/contact frames; article roadmap","FRAME_DIAGRAM_AND_SCOPE_IDENTITY"
HARTLEY_IJRR2020_ARXIV1904_09251V2,7,rendered/HARTLEY_IJRR2020_ARXIV1904.09251v2/PAGE_07_200DPI.png,200,VISUALLY_REVIEWED,"left/right invariant errors; group-affine and log-linear definitions","CORE_LIE_THEORY_EQUATIONS"
HARTLEY_IJRR2020_ARXIV1904_09251V2,8,rendered/HARTLEY_IJRR2020_ARXIV1904.09251v2/PAGE_08_200DPI.png,200,VISUALLY_REVIEWED,"invariant observation forms; adjoint preliminaries","OBSERVATION_FORM_EQUATION"
HARTLEY_IJRR2020_ARXIV1904_09251V2,10,rendered/HARTLEY_IJRR2020_ARXIV1904.09251v2/PAGE_10_200DPI.png,200,VISUALLY_REVIEWED,"world-centric right-invariant contact-aided formulation and group state","SELECTED_STATE_IDENTITY"
HARTLEY_IJRR2020_ARXIV1904_09251V2,11,rendered/HARTLEY_IJRR2020_ARXIV1904.09251v2/PAGE_11_200DPI.png,200,VISUALLY_REVIEWED,"hat map; adjoint; continuous IMU/contact process","CORE_PROCESS_EQUATIONS"
HARTLEY_IJRR2020_ARXIV1904_09251V2,12,rendered/HARTLEY_IJRR2020_ARXIV1904.09251v2/PAGE_12_200DPI.png,200,VISUALLY_REVIEWED,"log-linear error dynamics; Riccati model; FK measurement","CORE_ERROR_AND_MEASUREMENT_EQUATIONS"
HARTLEY_IJRR2020_ARXIV1904_09251V2,13,rendered/HARTLEY_IJRR2020_ARXIV1904.09251v2/PAGE_13_200DPI.png,200,VISUALLY_REVIEWED,"right-invariant innovation; Kalman gain; Joseph correction","CORE_UPDATE_EQUATIONS"
HARTLEY_IJRR2020_ARXIV1904_09251V2,14,rendered/HARTLEY_IJRR2020_ARXIV1904.09251v2/PAGE_14_200DPI.png,200,VISUALLY_REVIEWED,"ideal observability matrix and null directions","OBSERVABILITY_PROOF"
HARTLEY_IJRR2020_ARXIV1904_09251V2,15,rendered/HARTLEY_IJRR2020_ARXIV1904.09251v2/PAGE_15_200DPI.png,200,VISUALLY_REVIEWED,"Table 1 discrete noise and initial covariance; simulation setup","PARAMETER_TABLE"
HARTLEY_IJRR2020_ARXIV1904_09251V2,18,rendered/HARTLEY_IJRR2020_ARXIV1904.09251v2/PAGE_18_200DPI.png,200,VISUALLY_REVIEWED,"unobservable-yaw uncertainty geometry and simulation figures","OBSERVABILITY_INTERPRETATION"
HARTLEY_IJRR2020_ARXIV1904_09251V2,19,rendered/HARTLEY_IJRR2020_ARXIV1904.09251v2/PAGE_19_200DPI.png,200,VISUALLY_REVIEWED,"IMU-bias Euclidean augmentation and error definition","BIAS_STATE_EQUATIONS"
HARTLEY_IJRR2020_ARXIV1904_09251V2,20,rendered/HARTLEY_IJRR2020_ARXIV1904.09251v2/PAGE_20_200DPI.png,200,VISUALLY_REVIEWED,"bias-augmented invariant-error dynamics and covariance","BIAS_PROCESS_EQUATIONS"
HARTLEY_IJRR2020_ARXIV1904_09251V2,21,rendered/HARTLEY_IJRR2020_ARXIV1904.09251v2/PAGE_21_200DPI.png,200,VISUALLY_REVIEWED,"bias-augmented correction and contact removal/addition entry","UPDATE_AND_CONTACT_LIFECYCLE"
HARTLEY_IJRR2020_ARXIV1904_09251V2,22,rendered/HARTLEY_IJRR2020_ARXIV1904.09251v2/PAGE_22_200DPI.png,200,VISUALLY_REVIEWED,"right-invariant contact covariance augmentation","CONTACT_AUGMENTATION_EQUATION"
HARTLEY_IJRR2020_ARXIV1904_09251V2,26,rendered/HARTLEY_IJRR2020_ARXIV1904.09251v2/PAGE_26_200DPI.png,200,VISUALLY_REVIEWED,"long-odometry figure and left-invariant alternative introduction","EXPERIMENT_CONTEXT_AND_VARIANT_BOUNDARY"
HARTLEY_IJRR2020_ARXIV1904_09251V2,27,rendered/HARTLEY_IJRR2020_ARXIV1904.09251v2/PAGE_27_200DPI.png,200,VISUALLY_REVIEWED,"LiDAR figures and left-invariant dynamics derivation","VARIANT_CROSSCHECK"
