sequence_id,method_id,start_convention,evaluator_contract,segment_id,window_start_s,window_end_s,count,error_series_source,endpoint_policy,status,h_rmse_m,position_3d_rmse_m,up_rmse_m,yaw_rmse_deg,roll_rmse_deg,pitch_rmse_deg,yaw_p95_absolute_deg,configuration_id,variant,data_mode,synthetic_data_used,semisynthetic_data_used,source_sha256,evaluator_invoked
BY2O,F02,FROZEN_V21_RUNTIME_CONFIG,evaluator_contract_v3,full,3186.0,3563.0,76548,<CLEAN_ROOT>/stages/CLEAN7_T5A_HEADING_SENSITIVITY/T5A_R/04_EVAL/v3/BY2O/F02/R5/FROZEN_EVALUATOR/error_series.csv,CLOSED,AVAILABLE,0.054724671058797664,0.07160218488253325,0.04617448708387419,2.309490986722553,1.8794633592686152,1.731210391662891,3.5627391812785363,F02,R5,real_raw_heading_sensitivity_outside_v21,False,False,634c90646622dcbbb269ca663038619ea3052c12547e9226ca9848ba2e3a94e0,False
BY2O,F02,FROZEN_V21_RUNTIME_CONFIG,evaluator_contract_v3,occlusion_primary,3369.94,3411.95,7612,<CLEAN_ROOT>/stages/CLEAN7_T5A_HEADING_SENSITIVITY/T5A_R/04_EVAL/v3/BY2O/F02/R5/FROZEN_EVALUATOR/error_series.csv,CLOSED,AVAILABLE,0.023858274152662378,0.028614775294161454,0.015798358129620754,0.8630369665699419,1.73328225085985,0.2672726440689726,1.234501717712982,F02,R5,real_raw_heading_sensitivity_outside_v21,False,False,634c90646622dcbbb269ca663038619ea3052c12547e9226ca9848ba2e3a94e0,False
BY2O,F02,FROZEN_V21_RUNTIME_CONFIG,evaluator_contract_v3,occlusion_secondary,3495.94,3508.94,2754,<CLEAN_ROOT>/stages/CLEAN7_T5A_HEADING_SENSITIVITY/T5A_R/04_EVAL/v3/BY2O/F02/R5/FROZEN_EVALUATOR/error_series.csv,CLOSED,AVAILABLE,0.04316188362274738,0.05713520963194879,0.037436399156745084,1.57921171453566,1.2102078650301331,2.506865933256535,2.7084295514750156,F02,R5,real_raw_heading_sensitivity_outside_v21,False,False,634c90646622dcbbb269ca663038619ea3052c12547e9226ca9848ba2e3a94e0,False
BY2O,F02,FROZEN_V21_RUNTIME_CONFIG,evaluator_contract_v3,full,3186.0,3563.0,76548,<CLEAN_ROOT>/stages/CLEAN7_T5A_HEADING_SENSITIVITY/T5A_R/04_EVAL/v3/BY2O/F02/R5F/FROZEN_EVALUATOR/error_series.csv,CLOSED,AVAILABLE,0.056465320514441496,0.07294669367572976,0.04618319713296323,2.4083016174877407,1.8730519728892476,1.730839398185059,3.780659454248862,F02,R5F,real_raw_heading_sensitivity_outside_v21,False,False,704f3754f8f201bd29d1e4560128783c31ed7c94bafcfffb5f9c17c23acdfedb,False
BY2O,F02,FROZEN_V21_RUNTIME_CONFIG,evaluator_contract_v3,occlusion_primary,3369.94,3411.95,7612,<CLEAN_ROOT>/stages/CLEAN7_T5A_HEADING_SENSITIVITY/T5A_R/04_EVAL/v3/BY2O/F02/R5F/FROZEN_EVALUATOR/error_series.csv,CLOSED,AVAILABLE,0.027518263592432642,0.03173592530084841,0.015808672416064082,0.8862759689859719,1.7214928221056118,0.2744496235095694,1.9372750793070652,F02,R5F,real_raw_heading_sensitivity_outside_v21,False,False,704f3754f8f201bd29d1e4560128783c31ed7c94bafcfffb5f9c17c23acdfedb,False
BY2O,F02,FROZEN_V21_RUNTIME_CONFIG,evaluator_contract_v3,occlusion_secondary,3495.94,3508.94,2754,<CLEAN_ROOT>/stages/CLEAN7_T5A_HEADING_SENSITIVITY/T5A_R/04_EVAL/v3/BY2O/F02/R5F/FROZEN_EVALUATOR/error_series.csv,CLOSED,AVAILABLE,0.049446783607492335,0.06204619441158983,0.037479939058576744,1.7608525803877044,1.1986139408831835,2.509147717475704,3.068083152258009,F02,R5F,real_raw_heading_sensitivity_outside_v21,False,False,704f3754f8f201bd29d1e4560128783c31ed7c94bafcfffb5f9c17c23acdfedb,False
BY2O,F04,FROZEN_V21_RUNTIME_CONFIG,evaluator_contract_v3,full,3186.0,3563.0,76548,<CLEAN_ROOT>/stages/CLEAN7_T5A_HEADING_SENSITIVITY/T5A_R/04_EVAL/v3/BY2O/F04/R5/FROZEN_EVALUATOR/error_series.csv,CLOSED,AVAILABLE,0.054543210912875166,0.0712600956337934,0.04585890723786377,2.433814932823714,1.5071123881620372,1.6950312543923702,3.709243297643519,F04,R5,real_raw_heading_sensitivity_outside_v21,False,False,b68a673506d818e261ae6c0567fe39b1357d4fe5e4ea8ba99ebd3c691c34086a,False
BY2O,F04,FROZEN_V21_RUNTIME_CONFIG,evaluator_contract_v3,occlusion_primary,3369.94,3411.95,7612,<CLEAN_ROOT>/stages/CLEAN7_T5A_HEADING_SENSITIVITY/T5A_R/04_EVAL/v3/BY2O/F04/R5/FROZEN_EVALUATOR/error_series.csv,CLOSED,AVAILABLE,0.0242039712178186,0.02892926925485676,0.015845201068683496,0.2325140820805299,0.9254165481929985,0.23955606161178272,0.46627058635888546,F04,R5,real_raw_heading_sensitivity_outside_v21,False,False,b68a673506d818e261ae6c0567fe39b1357d4fe5e4ea8ba99ebd3c691c34086a,False
BY2O,F04,FROZEN_V21_RUNTIME_CONFIG,evaluator_contract_v3,occlusion_secondary,3495.94,3508.94,2754,<CLEAN_ROOT>/stages/CLEAN7_T5A_HEADING_SENSITIVITY/T5A_R/04_EVAL/v3/BY2O/F04/R5/FROZEN_EVALUATOR/error_series.csv,CLOSED,AVAILABLE,0.04051796645192961,0.05620611587377681,0.038954099350604045,1.861542194198912,0.9135462390335425,2.216038378583514,3.0402240162203027,F04,R5,real_raw_heading_sensitivity_outside_v21,False,False,b68a673506d818e261ae6c0567fe39b1357d4fe5e4ea8ba99ebd3c691c34086a,False
BY2O,F04,FROZEN_V21_RUNTIME_CONFIG,evaluator_contract_v3,full,3186.0,3563.0,76548,<CLEAN_ROOT>/stages/CLEAN7_T5A_HEADING_SENSITIVITY/T5A_R/04_EVAL/v3/BY2O/F04/R5F/FROZEN_EVALUATOR/error_series.csv,CLOSED,AVAILABLE,0.05546094462414298,0.0719661535045813,0.04586077705014061,2.428852255862662,1.5063606323140457,1.6948440323920786,3.5629597593359614,F04,R5F,real_raw_heading_sensitivity_outside_v21,False,False,a2ed0ccb0af94827d184d24a26067d036777bcc2b600ad7cf2fea97d9cad74d0,False
