path,size_bytes,suffix,is_large_gt_50MB,is_forbidden_extension,is_raw_like_path,contains_local_absolute_path,contains_forbidden_claim_pattern,stage_allowed
AGENTS.md,92241,.md,False,False,False,False,True,True
CLAIM_BOUNDARY.md,100763,.md,False,False,False,False,True,True
PHASE_LOG.md,51375,.md,False,False,False,False,False,True
PLANS.md,57195,.md,False,False,False,False,True,True
docs/codex_context/GO2_HIGH_LEVEL_PRIOR_CONTEXT.md,1043,.md,False,False,False,False,False,True
docs/codex_context/PAPER10C_CURRENT_CONTEXT.md,1449,.md,False,False,False,False,False,True
docs/codex_context/claim_boundary.md,21451,.md,False,False,False,False,True,True
docs/codex_context/current_state.md,36977,.md,False,False,False,False,False,True
docs/codex_context/data_source_roles.md,14706,.md,False,False,False,False,True,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_BY2_120_GO2_DELTA_VS_G00_BY_FAMILY.csv,4188,.csv,False,False,False,False,False,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_BY2_120_GO2_METHOD_SUMMARY.csv,1038,.csv,False,False,False,False,False,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_BY2_120_GO2_ROW_LEVEL_MASTER_TABLE_SANITIZED.csv,354915,.csv,False,False,False,False,False,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_BY2_120_GO2_STATUS_COUNTS.csv,300,.csv,False,False,False,False,False,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_BY2_120_GO2_WIN_LOSS_TIE_TABLE.csv,4372,.csv,False,False,False,False,False,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_BY2_GO2_FAMILY_TABLE.csv,4188,.csv,False,False,False,False,False,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_BY2_GO2_R_SCALE_BY_SOURCE.csv,707,.csv,False,False,False,False,False,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_BY3_GO2_BLOCKED_PROOF.csv,622,.csv,False,False,False,False,False,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_BY3_GO2_STRESS_TABLE.csv,622,.csv,False,False,False,False,False,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_CURRENT_SUMMARY.md,2709,.md,False,False,False,False,False,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_EXPORT_INDEX.csv,11017,.csv,False,False,False,False,False,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_EXPORT_INDEX.md,137,.md,False,False,False,False,False,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_EXPORT_QA_REPORT.csv,717,.csv,False,False,False,False,False,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_EXPORT_QA_REPORT.md,836,.md,False,False,False,False,False,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_FINAL_CLAIM_BOUNDARY_TABLE.csv,418,.csv,False,False,False,False,False,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_GO2_BY2_BY3_COMPARISON.csv,1124,.csv,False,False,False,False,False,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_GO2_CLAIM_DECISION_SUMMARY.md,234,.md,False,False,False,False,True,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_GO2_CODE_CHAIN_SUMMARY.md,194,.md,False,False,False,False,False,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_GO2_CODE_FILE_INDEX.csv,1059,.csv,False,False,False,False,False,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_GO2_DATA_FIELD_POLICY_SUMMARY.md,231,.md,False,False,False,False,False,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_GO2_FIELD_POLICY_TABLE.csv,4305,.csv,False,False,False,False,False,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_GO2_METHOD_TABLE.csv,819,.csv,False,False,False,False,False,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_GO2_MODE_TABLE.csv,819,.csv,False,False,False,False,False,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_GO2_MOTION_STATE_DISTRIBUTION_BY2.csv,208,.csv,False,False,False,False,False,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_GO2_MOTION_STATE_DISTRIBUTION_BY3.csv,125,.csv,False,False,False,False,False,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_GO2_MOTION_STATE_RULE_TABLE.csv,754,.csv,False,False,False,False,False,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_GO2_MOTION_STATE_TABLE.csv,754,.csv,False,False,False,False,False,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_GO2_PARAMETER_TABLE.csv,311,.csv,False,False,False,False,False,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_GO2_PRIOR_RUNTIME_EVIDENCE_SUMMARY.md,1434,.md,False,False,False,False,False,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_GO2_SOURCEAWARE_INTERACTION_SUMMARY.md,1036,.md,False,False,False,False,False,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_IMPORT_INDEX.csv,464,.csv,False,False,False,False,False,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_INTERNAL_COMPARISON_UPDATED.csv,535,.csv,False,False,False,False,False,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_NEXT_STAGE_INSTRUCTIONS.md,191,.md,False,False,False,False,False,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_STAGED_FILE_LIST.csv,4051,.csv,False,False,False,False,False,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_STAGE_SAFETY_SCAN.csv,6192,.csv,False,False,False,False,False,True
suanfahengxiangduibi/PAPER10C_GO2_HIGH_LEVEL_PRIOR_EVIDENCE_FREEZE/PAPER10C_SUPERVISOR_FINAL_REPORT.md,2709,.md,False,False,False,False,False,True
